t,value
1598171893,14487552
1598171896,16403456
1598171899,16599424
1598171902,16708480
1598171905,16779392
1598171908,16789248
1598171911,16802688
1598171914,16851072
1598171917,16866304
1598171920,16886528
1598171923,16946176
1598171926,16979584
1598171929,16985472
1598171932,16989312
1598171935,16997120
1598171938,17002880
1598171941,17018880
1598171944,17028736
1598171947,17041920
1598171950,17260416
1598171953,17302272
1598171956,17340672
1598171959,17346944
1598171962,17380864
1598171965,17383552
1598171968,17383552
1598171971,17386368
1598171974,17402624
1598171977,17419264
1598171980,17424896
1598171983,17426816
1598171986,17431680
1598171989,17454336
1598171992,17467904
1598171995,17472512
1598171998,17481216
1598172001,17481216
1598172004,17481216
1598172007,17481216
1598172010,17546880
1598172013,17555328
1598172016,17562240
1598172019,17573888
1598172022,17581056
1598172025,17611776
1598172028,17611776
1598172031,17615616
1598172034,17620224
1598172037,17626368
1598172040,17628160
1598172043,17641216
1598172046,17668096
1598172049,17679104
1598172052,17679104
1598172055,17699072
1598172058,17699072
1598172061,17708928
1598172064,17708928
1598172067,17715968
1598172070,17771392
1598172073,17776128
1598172076,17776128
1598172079,17776128
1598172082,17802368
1598172085,17815552
1598172088,17822208
1598172091,17824000
1598172094,17826048
1598172097,17834368
1598172100,17834368
1598172103,17834368
1598172106,17834368
1598172109,17834368
1598172112,17846144
1598172115,17846144
1598172118,17846144
1598172121,17846144
1598172124,17847424
1598172127,17847424
1598172130,17930368
1598172133,17943680
1598172136,17943680
1598172139,17943680
1598172142,17943680
1598172145,17956352
1598172148,17956352
1598172151,17967616
1598172154,17967616
1598172157,17967616
1598172160,19526144
1598172163,20997248
1598172166,20997248
1598172169,20998528
1598172172,21001472
1598172175,21001472
1598172178,21003008
1598172181,21394560
1598172184,21394560
1598172187,21394560
1598172190,21427456
1598172193,21427456
1598172196,21427456
1598172199,21552000
1598172202,22488960
1598172205,22554880
1598172208,22644736
1598172211,22824448
1598172214,22989696
1598172217,23353600
1598172220,24349824
1598172223,24369920
1598172226,24371072
1598172229,24382592
1598172232,24382592
1598172235,24382592
1598172238,24451712
1598172241,24979456
1598172244,25135232
1598172247,25170048
1598172250,25242496
1598172253,25248896
1598172256,25272064
1598172259,25438464
1598172262,25666560
1598172265,25666560
1598172268,25670784
1598172271,25670784
1598172274,25687168
1598172277,25714560
1598172280,25940736
1598172283,25940736
1598172286,25945984
1598172289,25945984
1598172292,25945984
1598172295,25945984
1598172298,25945984
1598172301,26176640
1598172304,26176640
1598172307,26176640
1598172310,26214784
1598172313,26215936
1598172316,26215936
1598172319,26215936
1598172322,26701056
1598172325,26701056
1598172328,26701056
1598172331,26701056
1598172334,26701056
1598172337,26701056
1598172340,26995456
1598172343,26995456
1598172346,26995456
1598172349,27000448
1598172352,27107328
