t,value
1598171893,13631488
1598171896,25165824
1598171899,25165824
1598171902,25165824
1598171905,25165824
1598171908,25165824
1598171911,25165824
1598171914,25165824
1598171917,25165824
1598171920,25165824
1598171923,25165824
1598171926,25165824
1598171929,25165824
1598171932,25165824
1598171935,25165824
1598171938,25165824
1598171941,25165824
1598171944,25165824
1598171947,25165824
1598171950,25165824
1598171953,25165824
1598171956,25165824
1598171959,25165824
1598171962,25165824
1598171965,25165824
1598171968,25165824
1598171971,25165824
1598171974,25165824
1598171977,25165824
1598171980,25165824
1598171983,25165824
1598171986,25165824
1598171989,25165824
1598171992,25165824
1598171995,25165824
1598171998,25165824
1598172001,25165824
1598172004,25165824
1598172007,25165824
1598172010,25165824
1598172013,25165824
1598172016,25165824
1598172019,25165824
1598172022,25165824
1598172025,25165824
1598172028,25165824
1598172031,25165824
1598172034,25165824
1598172037,25165824
1598172040,25165824
1598172043,25165824
1598172046,25165824
1598172049,25165824
1598172052,25165824
1598172055,25165824
1598172058,25165824
1598172061,25165824
1598172064,25165824
1598172067,25165824
1598172070,25165824
1598172073,25165824
1598172076,25165824
1598172079,25165824
1598172082,25165824
1598172085,25165824
1598172088,25165824
1598172091,25165824
1598172094,25165824
1598172097,25165824
1598172100,25165824
1598172103,25165824
1598172106,25165824
1598172109,25165824
1598172112,25165824
1598172115,25165824
1598172118,25165824
1598172121,25165824
1598172124,25165824
1598172127,25165824
1598172130,25165824
1598172133,25165824
1598172136,25165824
1598172139,25165824
1598172142,25165824
1598172145,25165824
1598172148,25165824
1598172151,25165824
1598172154,25165824
1598172157,25165824
1598172160,25165824
1598172163,27262976
1598172166,27262976
1598172169,27262976
1598172172,27262976
1598172175,27262976
1598172178,27262976
1598172181,27262976
1598172184,27262976
1598172187,27262976
1598172190,27262976
1598172193,27262976
1598172196,27262976
1598172199,27262976
1598172202,27262976
1598172205,27262976
1598172208,27262976
1598172211,27262976
1598172214,27262976
1598172217,27262976
1598172220,27262976
1598172223,27262976
1598172226,27262976
1598172229,27262976
1598172232,27262976
1598172235,27262976
1598172238,27262976
1598172241,27262976
1598172244,27262976
1598172247,27262976
1598172250,27262976
1598172253,27262976
1598172256,27262976
1598172259,27262976
1598172262,27262976
1598172265,27262976
1598172268,27262976
1598172271,27262976
1598172274,27262976
1598172277,27262976
1598172280,27262976
1598172283,27262976
1598172286,27262976
1598172289,27262976
1598172292,27262976
1598172295,27262976
1598172298,27262976
1598172301,27262976
1598172304,27262976
1598172307,27262976
1598172310,27262976
1598172313,27262976
1598172316,27262976
1598172319,27262976
1598172322,27262976
1598172325,27262976
1598172328,27262976
1598172331,27262976
1598172334,27262976
1598172337,27262976
1598172340,27262976
1598172343,27262976
1598172346,27262976
1598172349,27262976
1598172352,27262976
1598172355,27262976
1598172358,27262976
1598172361,27262976
1598172364,27262976
1598172367,27262976
1598172370,27262976
1598172373,27262976
1598172376,27262976
1598172379,27262976
1598172382,27262976
1598172385,27262976
1598172388,27262976
1598172391,27262976
1598172394,27262976
1598172397,27262976
1598172400,27262976
1598172403,27262976
1598172406,27262976
1598172409,27262976
1598172412,27262976
1598172415,27262976
1598172418,27262976
1598172421,27262976
1598172424,27262976
1598172427,27262976
1598172430,15728640
1598172433,15728640
1598172436,15728640
1598172439,15728640
1598172442,15728640
1598172445,15728640
1598172448,15728640
1598172451,15728640
1598172454,15728640
1598172457,15728640
1598172460,15728640
1598172463,15728640
1598172466,15728640
1598172469,15728640
1598172472,15728640
1598172475,15728640
1598172478,15728640
1598172481,15728640
1598172484,15728640
1598172487,15728640
t,value
1598172513,22020096
1598172516,34603008
1598172519,12582912
1598172522,12582912
1598172525,12582912
1598172528,12582912
1598172531,12582912
1598172534,12582912
1598172537,12582912
1598172540,12582912
1598172543,12582912
1598172546,12582912
1598172549,12582912
1598172552,12582912
1598172555,12582912
1598172558,12582912
1598172561,12582912
1598172564,12582912
1598172567,12582912
1598172570,12582912
1598172573,12582912
1598172576,12582912
1598172579,12582912
1598172582,12582912
1598172585,12582912
1598172588,12582912
1598172591,12582912
1598172594,12582912
1598172597,12582912
1598172600,12582912
1598172603,12582912
1598172606,12582912
1598172609,12582912
1598172612,12582912
1598172615,12582912
1598172618,12582912
1598172621,12582912
1598172624,12582912
1598172627,12582912
1598172630,12582912
1598172633,12582912
1598172636,12582912
1598172639,12582912
1598172642,12582912
1598172645,12582912
1598172648,12582912
1598172651,12582912
1598172654,12582912
1598172657,12582912
1598172660,12582912
1598172663,12582912
1598172666,12582912
1598172669,12582912
1598172672,12582912
1598172675,12582912
1598172678,12582912
1598172681,12582912
1598172684,12582912
1598172687,12582912
1598172690,12582912
1598172693,12582912
1598172696,12582912
1598172699,12582912
1598172702,12582912
1598172705,12582912
1598172708,12582912
1598172711,12582912
1598172714,12582912
1598172717,12582912
1598172720,12582912
1598172723,12582912
1598172726,22020096
1598172729,22020096
1598172732,22020096
1598172735,22020096
1598172738,22020096
1598172741,22020096
1598172744,22020096
1598172747,22020096
1598172750,22020096
1598172753,22020096
1598172756,22020096
1598172759,22020096
1598172762,22020096
1598172765,22020096
1598172768,22020096
1598172771,22020096
1598172774,22020096
1598172777,22020096
1598172780,22020096
1598172783,22020096
1598172786,22020096
1598172789,22020096
1598172792,22020096
1598172795,22020096
1598172798,22020096
1598172801,22020096
1598172804,22020096
1598172807,22020096
1598172810,22020096
1598172813,22020096
1598172816,22020096
1598172819,22020096
1598172822,22020096
1598172825,22020096
1598172828,22020096
1598172831,22020096
1598172834,22020096
1598172837,22020096
1598172840,22020096
1598172843,22020096
1598172846,22020096
1598172849,22020096
1598172852,22020096
1598172855,22020096
1598172858,22020096
1598172861,22020096
1598172864,22020096
1598172867,22020096
1598172870,22020096
1598172873,22020096
1598172876,22020096
1598172879,22020096
1598172882,22020096
1598172885,22020096
1598172888,22020096
1598172891,22020096
1598172894,22020096
1598172897,22020096
1598172900,22020096
1598172903,22020096
1598172906,22020096
1598172909,22020096
1598172912,22020096
1598172915,22020096
1598172918,22020096
1598172921,22020096
1598172924,22020096
1598172927,22020096
1598172930,15728640
1598172933,15728640
1598172936,15728640
1598172939,15728640
1598172942,15728640
1598172945,15728640
1598172948,15728640
1598172951,15728640
1598172954,15728640
1598172957,15728640
1598172960,15728640
1598172963,15728640
1598172966,15728640
1598172969,15728640
1598172972,15728640
1598172975,15728640
1598172978,15728640
1598172981,15728640
1598172984,15728640
1598172987,15728640
1598172990,15728640
1598172993,15728640
1598172996,15728640
1598172999,15728640
1598173002,15728640
1598173005,15728640
1598173008,15728640
1598173011,15728640
1598173014,15728640
1598173017,15728640
1598173020,15728640
1598173023,15728640
1598173026,15728640
1598173029,15728640
1598173032,15728640
1598173035,15728640
1598173038,15728640
1598173041,15728640
1598173044,15728640
1598173047,15728640
1598173050,15728640
1598173053,15728640
1598173056,15728640
1598173059,15728640
1598173062,15728640
1598173065,15728640
1598173068,15728640
1598173071,15728640
1598173074,15728640
1598173077,15728640
1598173080,15728640
1598173083,15728640
1598173086,15728640
1598173089,15728640
1598173092,15728640
1598173095,15728640
1598173098,15728640
1598173101,15728640
1598173104,15728640
1598173107,15728640
1598173110,15728640
1598173113,15728640
1598173116,15728640
1598173119,15728640
1598173122,15728640
1598173125,15728640
1598173128,15728640
1598173131,15728640
1598173134,15728640
1598173137,15728640
1598173140,15728640
1598173143,15728640
1598173146,15728640
1598173149,15728640
1598173152,15728640
1598173155,15728640
1598173158,15728640
1598173161,15728640
1598173164,17825792
1598173167,17825792
1598173170,17825792
1598173173,17825792
1598173176,17825792
1598173179,17825792
1598173182,17825792
1598173185,17825792
1598173188,17825792
1598173191,17825792
1598173194,17825792
1598173197,17825792
1598173200,17825792
1598173203,17825792
1598173206,17825792
1598173209,17825792
1598173212,17825792
1598173215,17825792
1598173218,17825792
1598173221,17825792
1598173224,17825792
1598173227,17825792
1598173230,17825792
1598173233,17825792
1598173236,17825792
1598173239,17825792
1598173242,17825792
1598173245,17825792
1598173248,17825792
1598173251,17825792
1598173254,17825792
1598173257,17825792
1598173260,17825792
1598173263,17825792
1598173266,17825792
1598173269,17825792
1598173272,17825792
1598173275,17825792
1598173278,17825792
1598173281,17825792
1598173284,17825792
