t,value
1623562245,65
1623562248,65
1623562251,65
1623562254,65
1623562257,65
1623562260,65
1623562263,65
1623562266,65
1623562269,65
1623562272,65
1623562275,65
1623562278,65
1623562281,65
1623562284,65
1623562287,65
1623562290,65
1623562293,65
1623562296,65
1623562299,65
1623562302,65
1623562305,65
1623562308,65
1623562311,64
1623562314,63
1623562317,63
1623562320,63
1623562323,63
1623562326,63
1623562329,63
1623562332,63
1623562335,63
1623562338,63
1623562341,63
1623562344,63
1623562347,63
1623562350,63
1623562353,63
1623562356,63
1623562359,63
1623562362,63
1623562365,63
1623562368,63
1623562371,63
1623562374,63
1623562377,63
1623562380,63
1623562383,63
1623562386,63
1623562389,63
1623562392,63
1623562395,63
1623562398,63
1623562401,63
1623562404,63
1623562407,63
1623562410,63
1623562413,63
1623562416,63
1623562419,63
1623562422,63
1623562425,63
1623562428,63
1623562431,63
1623562434,63
1623562437,63
1623562440,63
1623562443,63
1623562446,63
1623562449,63
1623562452,63
1623562455,63
1623562458,63
1623562461,63
1623562464,63
1623562467,63
1623562470,63
1623562473,63
1623562476,63
1623562479,63
1623562482,63
1623562485,63
1623562488,63
1623562491,63
1623562494,63
1623562497,63
1623562500,63
1623562503,63
1623562506,63
1623562509,63
1623562512,63
1623562515,63
1623562518,63
1623562521,63
1623562524,63
1623562527,63
1623562530,63
1623562533,63
1623562536,63
1623562539,63
1623562542,63
1623562545,63
1623562548,63
1623562551,63
1623562554,63
1623562557,63
1623562560,63
1623562563,63
1623562566,63
1623562569,63
1623562572,63
1623562575,63
1623562578,63
1623562581,63
1623562584,63
1623562587,63
1623562590,63
1623562593,63
1623562596,63
1623562599,63
1623562602,63
1623562605,63
1623562608,63
1623562611,63
1623562614,63
1623562617,63
1623562620,63
1623562623,63
1623562626,63
1623562629,63
1623562632,63
1623562635,63
1623562638,63
1623562641,63
1623562644,63
1623562647,63
1623562650,63
1623562653,63
1623562656,63
1623562659,63
1623562662,63
1623562665,63
1623562668,63
1623562671,63
1623562674,63
1623562677,63
1623562680,63
1623562683,63
1623562686,63
1623562689,63
1623562692,63
1623562695,63
1623562698,63
1623562701,63
1623562704,63
1623562707,63
1623562710,63
1623562713,63
1623562716,63
1623562719,63
1623562722,63
1623562725,63
1623562728,63
1623562731,63
1623562734,63
1623562737,63
1623562740,63
1623562743,63
1623562746,63
1623562749,63
1623562752,63
1623562755,63
1623562758,63
1623562761,63
1623562764,63
1623562767,63
1623562770,63
1623562773,63
1623562776,63
1623562779,63
1623562782,63
1623562785,63
1623562788,63
1623562791,63
1623562794,63
1623562797,63
1623562800,63
1623562803,63
1623562806,63
1623562809,63
1623562812,63
1623562815,63
1623562818,63
1623562821,63
1623562824,63
1623562827,63
1623562830,63
1623562833,63
1623562836,63
1623562839,63
1623562842,63
