t,value
1623562245,70
1623562248,70
1623562251,70
1623562254,70
1623562257,70
1623562260,70
1623562263,70
1623562266,70
1623562269,70
1623562272,70
1623562275,70
1623562278,70
1623562281,70
1623562284,70
1623562287,70
1623562290,70
1623562293,70
1623562296,70
1623562299,70
1623562302,70
1623562305,70
1623562308,70
1623562311,69
1623562314,68
1623562317,68
1623562320,68
1623562323,68
1623562326,68
1623562329,68
1623562332,68
1623562335,68
1623562338,68
1623562341,68
1623562344,68
1623562347,68
1623562350,68
1623562353,68
1623562356,68
1623562359,68
1623562362,68
1623562365,68
1623562368,68
1623562371,68
1623562374,68
1623562377,68
1623562380,68
1623562383,68
1623562386,68
1623562389,68
1623562392,68
1623562395,68
1623562398,68
1623562401,68
1623562404,68
1623562407,68
1623562410,68
1623562413,68
1623562416,68
1623562419,68
1623562422,68
1623562425,68
1623562428,68
1623562431,68
1623562434,68
1623562437,68
1623562440,68
1623562443,68
1623562446,68
1623562449,68
1623562452,68
1623562455,68
1623562458,68
1623562461,68
1623562464,68
1623562467,68
1623562470,68
1623562473,68
1623562476,68
1623562479,68
1623562482,68
1623562485,68
1623562488,68
1623562491,68
1623562494,68
1623562497,68
1623562500,68
1623562503,68
1623562506,68
1623562509,68
1623562512,68
1623562515,68
1623562518,68
1623562521,68
1623562524,68
1623562527,68
1623562530,68
1623562533,68
1623562536,68
1623562539,68
1623562542,68
1623562545,68
1623562548,68
1623562551,68
1623562554,68
1623562557,68
1623562560,68
1623562563,68
1623562566,68
1623562569,68
1623562572,68
1623562575,68
1623562578,68
1623562581,68
1623562584,68
1623562587,68
1623562590,68
1623562593,68
1623562596,68
1623562599,68
1623562602,68
1623562605,68
1623562608,68
1623562611,68
1623562614,68
1623562617,68
1623562620,68
1623562623,68
1623562626,68
1623562629,68
1623562632,68
1623562635,68
1623562638,68
1623562641,68
1623562644,68
1623562647,68
1623562650,68
1623562653,68
1623562656,68
1623562659,68
1623562662,68
1623562665,68
1623562668,68
1623562671,68
1623562674,68
1623562677,68
1623562680,68
1623562683,68
1623562686,68
1623562689,68
1623562692,68
1623562695,68
1623562698,68
1623562701,68
1623562704,68
1623562707,68
1623562710,68
1623562713,68
1623562716,68
1623562719,68
1623562722,68
1623562725,68
1623562728,68
1623562731,68
1623562734,68
1623562737,68
1623562740,68
1623562743,68
1623562746,68
1623562749,68
1623562752,68
1623562755,68
1623562758,68
1623562761,68
1623562764,68
1623562767,68
1623562770,68
1623562773,68
1623562776,68
1623562779,68
1623562782,68
1623562785,68
1623562788,68
1623562791,68
1623562794,68
1623562797,68
1623562800,68
1623562803,68
1623562806,68
1623562809,68
1623562812,68
1623562815,68
1623562818,68
1623562821,68
1623562824,68
1623562827,68
1623562830,68
1623562833,68
1623562836,68
1623562839,68
1623562842,68
1623562845,68
1623562848,68
1623562851,68
1623562854,68
1623562857,68
1623562860,68
1623562863,68
1623562866,68
1623562869,68
1623562872,68
1623562875,68
1623562878,68
1623562881,68
1623562884,68
1623562887,68
1623562890,68
1623562893,68
1623562896,68
1623562899,68
1623562902,68
1623562905,68
1623562908,68
1623562911,68
1623562914,68
1623562917,68
1623562920,68
1623562923,68
1623562926,68
1623562929,68
1623562932,68
1623562935,68
1623562938,68
1623562941,68
1623562944,68
1623562947,68
1623562950,68
1623562953,68
1623562956,68
1623562959,68
1623562962,68
1623562965,68
1623562968,68
1623562971,68
1623562974,68
1623562977,68
1623562980,68
1623562983,68
1623562986,68
1623562989,68
1623562992,68
1623562995,68
1623562998,68
1623563001,68
1623563004,68
1623563007,68
1623563010,68
1623563013,68
1623563016,68
1623563019,68
1623563022,68
1623563025,68
1623563028,68
1623563031,68
1623563034,68
1623563037,68
1623563040,68
1623563043,68
1623563046,68
1623563049,68
1623563052,68
1623563055,68
1623563058,68
1623563061,68
1623563064,68
1623563067,68
1623563070,68
1623563073,68
1623563076,68
1623563079,68
1623563082,68
1623563085,68
1623563088,68
1623563091,68
1623563094,68
1623563097,68
1623563100,68
1623563103,68
1623563106,68
1623563109,68
1623563112,68
1623563115,68
1623563118,68
1623563121,68
1623563124,68
1623563127,68
1623563130,68
1623563133,68
1623563136,68
1623563139,68
1623563142,68
1623563145,68
1623563148,68
1623563151,68
1623563154,68
1623563157,68
1623563160,68
1623563163,68
1623563166,68
1623563169,68
1623563172,68
1623563175,68
1623563178,68
1623563181,68
1623563184,68
1623563187,68
1623563190,68
1623563193,68
1623563196,68
1623563199,68
1623563202,68
1623563205,68
1623563208,68
1623563211,68
1623563214,68
1623563217,68
1623563220,68
1623563223,68
1623563226,68
1623563229,68
1623563232,68
1623563235,68
1623563238,68
1623563241,68
1623563244,68
1623563247,68
1623563250,68
1623563253,68
1623563256,68
1623563259,68
1623563262,68
1623563265,68
1623563268,68
1623563271,68
1623563274,68
1623563277,68
1623563280,68
1623563283,68
1623563286,68
1623563289,68
1623563292,68
1623563295,68
1623563298,68
1623563301,68
1623563304,68
1623563307,68
1623563310,68
1623563313,68
1623563316,68
1623563319,68
1623563322,68
1623563325,68
1623563328,68
1623563331,68
1623563334,68
1623563337,68
1623563340,68
1623563343,68
1623563346,68
1623563349,68
1623563352,68
1623563355,68
1623563358,68
1623563361,68
1623563364,68
1623563367,68
1623563370,68
1623563373,68
1623563376,68
1623563379,68
1623563382,68
1623563385,68
1623563388,68
1623563391,68
1623563394,68
1623563397,68
1623563400,68
1623563403,68
1623563406,68
1623563409,68
1623563412,68
1623563415,68
1623563418,68
1623563421,68
1623563424,68
1623563427,68
1623563430,68
1623563433,68
1623563436,68
1623563439,68
1623563442,68
1623563445,69
1623563448,69
1623563451,69
1623563454,69
1623563457,69
1623563460,69
1623563463,69
1623563466,69
1623563469,69
1623563472,69
1623563475,69
1623563478,69
1623563481,69
1623563484,69
1623563487,69
1623563490,69
1623563493,69
1623563496,69
1623563499,69
1623563502,69
1623563505,69
1623563508,68
1623563511,68
1623563514,68
1623563517,68
1623563520,68
1623563523,68
1623563526,68
1623563529,68
1623563532,68
1623563535,68
1623563538,68
1623563541,68
1623563544,68
1623563547,68
1623563550,68
1623563553,68
1623563556,68
1623563559,68
1623563562,68
1623563565,68
1623563568,68
1623563571,68
1623563574,68
1623563577,68
1623563580,68
1623563583,68
1623563586,68
1623563589,68
1623563592,68
1623563595,68
1623563598,68
1623563601,68
1623563604,68
1623563607,68
1623563610,68
1623563613,68
1623563616,68
1623563619,68
1623563622,68
1623563625,68
1623563628,68
1623563631,68
1623563634,68
1623563637,68
1623563640,68
1623563643,68
1623563646,68
1623563649,68
1623563652,68
1623563655,68
1623563658,68
1623563661,68
1623563664,68
1623563667,68
1623563670,68
1623563673,68
1623563676,68
1623563679,68
1623563682,68
1623563685,68
1623563688,68
1623563691,68
1623563694,68
1623563697,68
1623563700,68
1623563703,68
1623563706,68
1623563709,68
1623563712,68
1623563715,68
1623563718,68
1623563721,68
1623563724,68
1623563727,68
1623563730,68
1623563733,68
1623563736,68
1623563739,68
1623563742,68
1623563745,68
1623563748,68
1623563751,68
1623563754,68
1623563757,68
1623563760,68
1623563763,68
1623563766,68
1623563769,68
1623563772,68
1623563775,68
1623563778,68
1623563781,68
1623563784,68
1623563787,68
1623563790,68
1623563793,68
1623563796,68
1623563799,68
1623563802,68
1623563805,68
1623563808,68
1623563811,68
1623563814,68
1623563817,68
1623563820,68
1623563823,68
1623563826,68
1623563829,68
1623563832,68
1623563835,68
1623563838,68
1623563841,68
1623563844,68
1623563847,68
1623563850,68
1623563853,68
1623563856,68
1623563859,68
1623563862,68
1623563865,68
1623563868,68
1623563871,68
1623563874,68
1623563877,68
1623563880,68
